"model","importance","wis","dispersion","overpred","underpred","0.01","0.025","0.05","0.1","0.15","0.2","0.25","0.3","0.35","0.4","0.45","0.5","0.55","0.6","0.65","0.7","0.75","0.8","0.85","0.9","0.95","0.975","0.99","target_end_date","location","target"
"CovidAnalytics-DELPHI",8.03,22.4090637480381,17.9715398094411,0,4.43752393859696,194.780681513437,225.683883009879,252.262341160545,282.905601220442,303.58046330365,320.012188280918,334.10914520288,346.768648203572,358.499564376807,369.631056656413,380.400904260645,391,401.599095739355,412.368943343587,423.500435623193,435.231351796428,447.89085479712,461.987811719082,478.41953669635,499.094398779558,529.737658839455,556.316116990121,587.219318486563,"2021-01-16","MA","4wk ahead inc death"
"UMass-MechBayes",4.67,42.3326086956522,42.0282608695652,0.304347826086957,0,163,195,218,246,273,297,318,338,358,381,407,431,459,489,512,543,575,623,665,745,874,1006,1173,"2021-01-16","MA","4wk ahead inc death"
"USC-SI_kJalpha",-1.46,64.9329617298865,23.0854676261637,41.8474941037228,0,215.733913043478,238,266.241869918699,328.704049844237,386,423.533163265306,488.062745098039,502.007326007326,510.308396547214,517.633984212713,527.73373032752,535,537.07062780269,553.383333333333,574.490476190476,578.255918367347,597.788079470199,612.251217622316,637.632225182439,772.96122041631,886.26,891.916746411483,910.624727272727,"2021-01-16","MA","4wk ahead inc death"
"RobertWalraven-ESG",5.77,6.83756956521739,5.51322173913043,1.32434782608695,0,373.76,383.24,391.4,400.81,407.16,412.21,416.54,420.43,424.03,427.45,430.75,434,437.24,440.54,443.96,447.56,451.45,455.78,460.83,467.18,476.59,484.75,494.24,"2021-01-16","MA","4wk ahead inc death"
"COVIDhub-baseline",10.29,53.8242011371418,42.9912220682207,0,10.8329790689211,0,0,0,58.6811628116282,120.233736837368,173.452812528125,216.525200252003,252.69862298623,281.954207542075,307.086958869589,328.940662406624,350,370.989730897309,393.679542795428,419.75146701467,449.065268652687,484.970254702548,527.99602196022,579.520821708217,639.557951579516,748.814224642246,860.086229862296,975.739079290793,"2021-01-16","MA","4wk ahead inc death"
"Karlen-pypm",-16.73,282.916565217391,49.5948260869565,233.321739130435,0,454.9,493,526.8,576.9,631.9,663,697,725,761.6,789.6,817.5,844,873,902,940,974,1009.3,1054.4,1115.2,1181.1,1304.2,1441.5,1596.2,"2021-01-16","MA","4wk ahead inc death"
"SteveMcConnell-CovidComplete",-7.48,111.872608695652,70.6204347826087,41.2521739130435,0,331.5,332,345.2,371.5,397.8,424.1,450.4,476.7,503.1,529.4,555.7,582,650.3,718.6,786.9,855.3,923.6,991.9,1060.2,1128.5,1196.8,1231,1231.5,"2021-01-16","MA","4wk ahead inc death"
"UCSD_NEU-DeepGLEAM",-3.83,139.406611324389,13.5889752144191,125.81763610997,0,459.262710993933,494.276688916645,512.181563990759,532.814800980929,546.797655800713,557.824785211437,567.374051917631,575.900182905305,583.801064287215,591.304059556368,598.522850459265,605.68480048891,614.565759699987,623.517202714327,632.821064744979,642.618313398469,653.190883887846,665.032162835949,678.706020668877,696.045036271456,721.630656855749,743.833054883442,787.251077693152,"2021-01-16","MA","4wk ahead inc death"
"BPagano-RtDriven",6.08,14.7339633956522,14.6907755695652,0.0431878260869558,0,267.04635,290.72446,311.89144,336.67728,353.50906,366.91953,378.43925,388.79214,398.39019,407.50052,416.31644,424.99332,433.67019,442.48611,451.59645,461.19449,471.54738,483.0671,496.47757,513.30935,538.09519,559.26217,582.94028,"2021-01-16","MA","4wk ahead inc death"
"Ensemble.all",NA,52.0552201510116,31.1205248628967,20.9346952881149,0,273.331517283428,294.658336880725,313.775246118889,348.332543873026,379.997879549081,404.228053253976,429.605599163395,447.366324455826,464.409269194812,480.067397699454,495.87384305045,510.853124498768,530.826156015482,552.841681354075,576.113321508146,598.469482468326,623.85971698419,652.823812681952,685.776241583987,738.083106338538,808.458636704161,863.85159090526,926.523831415915,"2021-01-16","MA","4wk ahead inc death"
"Ens.wo.CovidAnalytics-DELPHI",NA,60.0884049904436,32.7641479945787,27.3242569958649,0,283.150371754676,303.280143614581,321.464359238682,356.510911704599,389.55005657976,414.755036375608,441.542655908459,459.941033987358,477.647982297063,493.871940329834,510.307960399176,525.834765061114,546.979538549998,570.400773605386,595.189932243766,618.874248802313,645.855824757574,676.678312802311,711.695829694942,767.95669478341,843.298758937249,902.293525144653,968.936895532084,"2021-01-16","MA","4wk ahead inc death"
"Ens.wo.UMass-MechBayes",NA,56.727068322062,29.7570578620632,26.9700104599988,0,287.122956943856,307.115628990815,325.74715188375,361.124111857155,393.372614492716,417.631559910723,443.556299058819,461.037115012804,477.710427844164,492.450822411885,506.983073431757,520.834765061114,539.804425517418,560.821891523334,584.127486696665,605.403167776866,629.967181607214,656.551789267196,688.373271781985,737.218494630855,800.265966292181,846.083039768418,895.714310342904,"2021-01-16","MA","4wk ahead inc death"
"Ens.wo.USC-SI_kJalpha",NA,50.5934628082989,32.1249070174884,18.4685557908105,0,280.531217813421,301.740628990815,319.716918143913,350.786105626625,379.247614492716,401.81491450256,422.298455921564,440.536199261888,458.671878275762,475.371574385296,491.891357140817,507.834765061114,530.045597042081,552.773974856668,576.316177172855,600.996177980948,627.118671673439,657.895387064406,691.79424363418,733.723342078816,798.733466292181,860.343446466982,928.511219433813,"2021-01-16","MA","4wk ahead inc death"
"Ens.wo.RobertWalraven-ESG",NA,57.8273177785837,34.3214377533675,23.5058800252162,0,260.777956943856,283.585628990816,304.07215188375,341.772861857155,376.602614492716,403.230309910723,431.238799058819,450.733365012804,469.456677844164,486.644572411885,504.014323431757,520.459765061114,542.524425517418,566.879391523334,592.632486696665,617.333167776866,645.410931607214,677.454289267196,713.894521781985,771.945994630855,849.942216292181,911.239289768418,980.559310342904,"2021-01-16","MA","4wk ahead inc death"
"Ens.wo.COVIDhub-baseline",NA,62.3446765928946,29.6366877122313,32.7079888806634,0,307.497956943856,331.490628990815,352.99715188375,384.538966505701,412.468397388045,433.074958344708,456.240649027319,471.699787139525,487.216151901404,501.689952553187,516.740490630929,530.959765061114,550.805709155254,572.736948673906,595.658553319831,617.145009195281,641.220899769396,668.427286522168,699.058169068458,750.398750683416,815.914188211901,864.322261035631,920.371925431555,"2021-01-16","MA","4wk ahead inc death"
"Ens.wo.Karlen-pypm",NA,35.3252986201817,28.8112372098893,6.51406141029242,0,250.635456943856,269.865628990815,287.14715188375,319.761611857155,348.510114492716,371.881559910723,396.181299058819,412.662115012804,427.260427844164,441.375822411885,455.670573431757,469.209765061114,488.054425517418,509.196891523334,530.627486696665,551.528167776866,575.679681607214,602.626789267196,632.098271781985,682.705994630855,746.490966292181,791.645539768418,842.814310342904,"2021-01-16","MA","4wk ahead inc death"
"Ens.wo.SteveMcConnell-CovidComplete",NA,44.5791335394533,26.1830361229328,18.3960974165205,0,266.060456943856,289.990628990815,309.84715188375,345.436611857155,377.772614492716,401.744059910723,427.006299058819,443.699615012804,459.572927844164,473.900822411885,488.395573431757,501.959765061114,515.891925517418,532.121891523334,549.764986696665,566.365667776866,586.392181607214,610.439289267196,638.973271781985,689.280994630855,759.915966292181,817.958039768418,888.401810342904,"2021-01-16","MA","4wk ahead inc death"
"Ens.wo.UCSD_NEU-DeepGLEAM",NA,48.224142616747,33.3119685689565,14.9121740477905,0,250.090118069614,269.706042876235,288.974456384905,325.272261734538,359.147907517627,385.028461759294,412.384542569115,431.299592149641,449.485294808262,466.162814967339,483.042717124349,498.999165,520.358705554919,544.007241184044,569.024853603542,592.950878602058,620.193321121233,651.297768912702,686.660019198376,743.337865096923,819.312134185213,878.853907907987,943.93292563126,"2021-01-16","MA","4wk ahead inc death"
"Ens.wo.BPagano-RtDriven",NA,58.1395235497794,33.1742435245632,24.9652800252162,0,274.117163193856,295.150071490815,314.01072188375,349.789451857155,383.308981992716,408.891618660723,436.001392808819,454.688097512804,472.661654094164,489.138257411885,505.818518431757,521.585600061114,542.970651767418,566.636127773334,591.677930446665,615.628856526866,642.898759107214,674.043401767196,709.438575531985,766.179825880855,842.254067542181,901.925268518418,969.471775342904,"2021-01-16","MA","4wk ahead inc death"
"CovidAnalytics-DELPHI",4.54,26.3677727329618,26.3242944720923,0,0.0434782608695652,121.58249567241,166.848788096353,205.780296825771,250.665833065568,280.949891271997,305.018700710285,325.667596080906,344.210942304664,361.394116092002,377.699267669957,393.474690519612,409,424.525309480388,440.300732330043,456.605883907998,473.789057695336,492.332403919094,512.981299289715,537.050108728003,567.334166934432,612.219703174229,651.151211903647,696.41750432759,"2021-01-23","MA","4wk ahead inc death"
"UMass-MechBayes",4.78,37.3565217391304,35.7913043478261,0,1.56521739130435,141,169,191,225,252,273,293,312,328,349,369,384,405,426,454,479,523,561,607,662,799,915,1071,"2021-01-23","MA","4wk ahead inc death"
"USC-SI_kJalpha",4.01,21.7395620214539,21.0004315866713,0.739130434782609,0,179.016383112791,237.357179132692,265.21006058378,337.694736880627,346.009057105466,364.981219336298,378.332767293582,384.143142476183,386.805966446125,397.385383553126,409.245352119749,427,441.587004581718,455.952200918174,472.22110752224,479.649915253282,498.349716446125,519.72724169865,531.349716446125,567.007937470383,630.508388705837,646.967977446275,657.627822955,"2021-01-23","MA","4wk ahead inc death"
"RobertWalraven-ESG",9.79,65.4532391304348,4.78889130434783,0,60.664347826087,275.4,283.64,290.72,298.9,304.41,308.8,312.56,315.94,319.07,322.03,324.9,327.72,330.54,333.41,336.38,339.5,342.88,346.64,351.03,356.54,364.72,371.81,380.05,"2021-01-23","MA","4wk ahead inc death"
"COVIDhub-baseline",6.2,49.2536538093859,42.3273874162872,0,6.92626639309869,0,0,0,64.9068150681507,126.722245722457,178.621762217622,222.073498234982,256.673682736827,286.103625536255,310.726303263033,332.388472884729,353,373.620970209702,395.226966269663,420.217158671587,449.695773957739,484.570045700457,527.923419234192,579.190433904339,640.177286772868,749.821633716337,859.286658616584,970.871050610506,"2021-01-23","MA","4wk ahead inc death"
"Karlen-pypm",-14.07,347.330869565217,58.5395652173913,288.791304347826,0,435,509,567.8,616,658,704,745.5,785.7,819,854.6,884,915,952,988.4,1032.4,1076.6,1124.2,1171.2,1237.2,1304.6,1457.2,1551,1710,"2021-01-23","MA","4wk ahead inc death"
"SteveMcConnell-CovidComplete",2.3,71.2530434782609,67.244347826087,0,4.00869565217392,294.5,295,296.4,299.1,301.8,304.6,307.3,310.1,312.8,315.5,318.3,321,408.4,495.7,583.1,670.5,757.8,845.2,932.6,1019.9,1107.3,1151,1151.5,"2021-01-23","MA","4wk ahead inc death"
"UCSD_NEU-DeepGLEAM",-7.05,162.60411327522,38.3567382002309,124.247375074989,0,252.097735065852,353.85907191016,405.89611916009,465.862621229057,506.501077176622,538.549290403563,566.302382270192,591.081928579683,614.044308159811,635.850308912163,656.830324787531,677.645143687503,702.113626876678,726.776304376877,752.409953432202,779.402962664704,808.532109318483,841.156753570715,878.830449909602,926.602250421799,997.094785323943,1058.26599329688,1177.8896888884,"2021-01-23","MA","4wk ahead inc death"
"BPagano-RtDriven",0.61,44.9475325173913,34.6785999086956,10.2689326086956,0,106.48848,162.38231,212.34845,270.85716,310.58974,342.24609,369.4392,393.87792,416.53477,438.04035,458.85095,479.33331,499.81568,520.62628,542.13186,564.78871,589.22742,616.42053,648.07689,687.80947,746.31818,796.28432,852.17815,"2021-01-23","MA","4wk ahead inc death"
